community_id,size,liberal,conservative,majority_label,purity,mean_pagerank,mean_betweenness,top_node_by_pagerank
5,649,40,609,conservative,0.938366718027735,0.000811,0.001221,instapundit.com
9,518,506,12,liberal,0.9768339768339769,0.000879,0.001482,dailykos.com
7,35,28,7,liberal,0.8,0.000334,0.000264,etalkinghead.com
6,4,0,4,conservative,1.0,0.000564,0.000688,batr.net
3,3,3,0,liberal,1.0,0.00022,9e-06,theantibush.org
1,3,3,0,liberal,1.0,0.000311,0.000319,blog.veggiedude.com
0,2,2,0,liberal,1.0,0.000269,0.000346,vernsblog.thegillfamily.us:8180
2,2,2,0,liberal,1.0,0.000288,0.0,enemykombatant.blogspot.com
4,2,2,0,liberal,1.0,0.000282,0.000322,openeyesmemo.com
8,2,0,2,conservative,1.0,0.000226,0.0,imprescindibile.ilcannocchiale.it
10,2,0,2,conservative,1.0,0.000303,0.0,quimundus.squarespace.com
